Category,Company,COMPANY_Facebook_page,COMPANY_twitter_handle,PERSONAL_Twitter_handle,PERSONAL_public_profile_page_on_LinkedIn
OSB,Acceptd,acceptd,@acceptd,,"in/hunterdl, in/dbrown124"
OSB,"Acclaimd, Inc.",Acclaimd,@Acclaimd,http://www.twitter.com/DerekFromCBUS,in/derekbedwards
OSS,"Algorithm, Inc.",AlgorithmInc,@algorithminc,roebuckr,in/rebeccaaroebuck
OSS,Amperand,Amperand,,/jeffspitzner,in/jeffspitzner/
OPS,Azoti,azotiinc,@azoti,@Ranallo,profile/view?id=8766303
OSB,Azoti,azotiinc,@azoti,@Ranallo,profile/view?id=8766303
OTT,Battelle,Battelle,@Battelle,,
OWT,Battelle,Battelle,@Battelle,,
OPL,Battelle,Battelle,@Battelle,,
NPS,Battelle for Kids,battelleforkidsorg,@BattelleforKids,@KimRatcliff,kimberly.ratcliff
GRN,"Biobent Polymers, LLC",,,,in/keithmasavage
OSB,Bookwithus LLC,pages/Bookwithus/188327751278292,bookwith_us,braddunnington,pub/brad-dunnington/0/777/b9b
OYS,Buckeye Interactive,BuckeyeInteractive,BuckeyeWebDev,BradGriffith,in/BradGriffith
OSS,Buckeye Interactive,BuckeyeInteractive,BuckeyeWebDev,BradGriffith,in/BradGriffith
OPS,Capture Education,ScheduleSMART  CaptureEducation,ScheduleSMART,,
NPS,City of Westerville,cityofwesterville,@tellwesterville,@toddDjackson,profile/view?id=7765652&trk=tab_pro
GRN,Corder Enterprises International (CEI),,,,in/corder
OSB,"Cuptoopia.com, Inc.",,,Charlescampbell,
EYL,CVG - Commerical Vehicle Group,CVGRP?fref=ts,,,pub/gerald-jerry-armstrong/10/501/503/
OSS,Datacenter.bz,,@DataCenterBZ,,
OTT,Datacenter.bz,,@DataCenterBZ,,
GRN,Elytus Ltd.,elytusltd,@elytusltd,,in/matthewshollis
OSS,Elytus Ltd.,https://elytusltd,@elytusltd,,in/matthewshollis
OPS,Environmental Pest Management,Envpm,bugman_200,,pub/jason-carpenter/9/677/11a
NPS,eTechOhio,ohioetc,etech_ohio,,in/jimbruner
OSS,Expedient,expedientcommunications,@expedientcomm,@SteveGruetter,in/stevegruetter
OPS,Expesite,home.php#!/pages/expesite/303772862620,@ExpesiteLLC,,
OSS,Fidelity Voice and Data,FidelityVoiceandData,@fidelityvoice,@fvd_jgintert,pub/natalie-laconte/8/409/6b4
OSS,geoAMPS,geoAMPS,@geoAMPS,@geoAMPS,company/geoamps
OPS,HealthSpot,Care4Station,@health_spot,,pub/matt-weiner/23/5a5/571
EYL,Highlights for Children,HighlightsforChildren,Highlights,,pub/kent-johnson/3/848/436
OPS,HR Services Inc.,mystaffingpro,mystaffingpro,,
GRN,Jane's Dough Foods,pages/Janes-Dough-Foods/149180051799818?fref=ts,TakeNBakePizzas,,
OPS,LifeBio,lifebio,lifebio,,in/bethsanders
OWT,LifeCubby,LifeCubby,lifecubby,,profile/view?id=137549980&trk=tab_pro
IOY,MailTamer,MailTamer,@MailTamer,@scottag,pub/ria-f/17/873/629
OPS,MailTamer,MailTamer,@MailTamer,@scottag,pub/ria-f/17/873/629
OSS,Manifest Solutions,ManifestCorp,@ManifestJobs,,
OWT,Manta,mantacom?ref=hl,@Manta,@pspringer,pub/pamela-springer/3/271/7a2
OSS,Manta,mantacom?ref=hl,@Manta,@pspringer,pub/pamela-springer/3/271/7a2
OPS,Modern Medical,pages/Modern-Medical/221593701305293,ModernMedicalOH,,
OPS,Moncai,pages/Monca%C3%AD/145221292206342,moncai,dwragan,in/daleragan/
OPS,NanoBlox,pages/Nanoblox-Inc/559336797413733,@NanoBlox_Inc,,profile/view?id=194471584&locale=en_US&trk=tyah2
OWT,Nationwide Children's Hospital,NationwideChildrensHospital,nationwidekids,,profile/view?id=12088120&trk=tab_pro
OSL,OhioHealth,ohiohealth,@OhioHealth,@KBraun5,in/braunkelly
OTT,OhioHealth,ohiohealth,@OhioHealth,@KBraun5,in/braunkelly
OPS,Perfect Practice,perfectpracticeusa,"@LevelBelt, @PerfectPractice",,pub/ajit-chaudhari/1/a33/781  pub/christopher-mckenzie/1a/6a6/7a3
OWT,Polly Clavijo,RevGroup,rev_group,,profile/view?id=16532483&locale=en_US&trk=tyah
OTT,Quick Solutions,quicksolutions,@quick_solutions,,company/12662?trk=saber_s000001e_1000
OTT,"Quick Solutions, Inc. (QSI)",quicksolutions,@quick_solutions,@RubTheLamp,in/aladingohar
OSB,"RealWeld Systems, Inc",realweldsystems,@realweld,@billforquer,in/billforquer
OPS,"RealWeld Systems, Inc",realweldsystems,@realweld,@billforquer,in/billforquer
OSS,Revolution Group,RevGroup,rev_group,,profile/view?id=16532483&locale=en_US&trk=tyah
OPS,Sevenex,TheSevenexGroup,,,pub/tony-taylor/3b/9a9/461
EYL,State of Ohio Dept of Developmental Disabilities,pages/Ohio-Department-of-Developmental-Disabilities/124333821004961#!/pages/Ohio-Department-of-Developmental-Disabilities/124333821004961,,,pub/bryant-k-young/4/9/544
OWT,TDCI,TDCI.Inc,,,in/rdemuth
GRN,The City of Columbus,columbusgreenspot,,MichaelBColeman,pub/michael-b-coleman/37/376/49a
OPL,The Scotts Miracle-Gro Company,scottslawn?fref=ts,@smg_grogood,@steveomic,in/smichalovich
OSS,"The SmarTV Company, LLC",pages/The-SmarTV-Company-LLC/316457785103306,TheSmarTVCo,,
NPS,Thirst Relief,ThirstRelief?fref=ts,@thirstrelief,@jimdavishicks,pub/jim-davis-hicks/7/685/92b
OSB,Venueseen,Venueseen,@venueseen,@bzuerche,in/brianzuercher
OPS,Venueseen,Venueseen,@venueseen,@bzuerche,in/brianzuercher
OWT,Victoria Boczkowski,johnglennschool,@glennschool,,in/victorialb/
OPS,Whouter.com,,,Charlescampbell,
